"CODE","es"
"NAME","Español"
"RPR_NAME","Realistic Population 2"
"RPR_DESC","Poblaciones más realistas en los edificios (según el tamaño del edificio) y necesidades de servicios."
"RPR_REALPOP","Realistic Population"
"RPR_INF_VIS","visitantes"
"RPR_PCK_DEF"," (por defecto)"
"RPR_PCK_NAM","Cálculos"
"RPR_PCK_VAN_NAM","Vanilla (juego base)"
"RPR_PCK_VAN_DES","Calculaciones usadas por el juego base (sin modificar)."
"RPR_PCK_LEG_NAM","Cálculos antiguos de WG"
"RPR_PCK_LEG_DES","Antiguos cálculos usados en versiones 1.x de este mod y en el mod original de Whitefang Greytail ""Realistic Population and Consumption mod"""
"RPR_PCK_RLS_NAM","Viviendas individuales"
"RPR_PCK_RLS_DES","Una familia por vivienda"
"RPR_PCK_RLD_NAM","Duplex"
"RPR_PCK_RLD_DES","Dos familias por vivienda"
"RPR_PCK_RUH_NAM","Rascacielos estadounidenses"
"RPR_PCK_RUH_DES","Apartamentos y condominios promedio estadounidense"
"RPR_PCK_REM_NAM","Apartamentos Europeos (modernos)"
"RPR_PCK_REM_DES","Apartamentos Europeos de media altura y pared a pared (densidad media; edificios modernos). "
"RPR_PCK_REO_NAM","Apartamentos Europeos (viejo)"
"RPR_PCK_REO_DES","Apartamentos Europeos de media altura y pared a pared (densidad alta; edificios antiguos)."
"RPR_PCK_CUS_NAM","Comercio minorista estadounidense"
"RPR_PCK_CUS_DES","Comercio de baja densidad típico de EEUU."
"RPR_PCK_CUK_NAM","Comercio minorista del Reino Unido"
"RPR_PCK_CUK_DES","Comercio de baja densidad típico del Reino Unido."
"RPR_PCK_CRW_NAM","Megatiendas"
"RPR_PCK_CRW_DES","Megatiendas y almacenes minoristas (no alimentos)."
"RPR_PCK_THT_NAM","Hoteles"
"RPR_PCK_THT_DES","Hoteles y moteles."
"RPR_PCK_LFD_NAM","Servicio de comida"
"RPR_PCK_LFD_DES","Restaurantes y cafes."
"RPR_PCK_LEN_NAM","Entretenimiento"
"RPR_PCK_LEN_DES","Centros de diversión, fitness y entretenimiento."
"RPR_PCK_LCN_NAM","Cines"
"RPR_PCK_LCN_DES","Cines y teatros."
"RPR_PCK_ILG_NAM","Industria ligera"
"RPR_PCK_ILG_DES","Industria ligera y parques de negocios."
"RPR_PCK_IMN_NAM","Manufactura"
"RPR_PCK_IMN_DES","Industria manufacturera"
"RPR_PCK_IWL_NAM","Almacenes pequeños"
"RPR_PCK_IWL_DES","Almacenes de distribución local - mucho almacenamiento y baja densidad de empleados"
"RPR_PCK_IWN_NAM","Grandes almacenes"
"RPR_PCK_IWN_DES","Almacenes para distribución nacional - mucho almacenamiento y muy baja densidad de empleados."
"RPR_PCK_OCP_NAM","Oficinas corporativas"
"RPR_PCK_OCP_DES","Oficinas corporativas, servicios profesionales y del sector público."
"RPR_PCK_OFN_NAM","Oficinas financieras"
"RPR_PCK_OFN_DES","Oficinas financieras; mayor densidad que las típicas oficinas corporativas"
"RPR_PCK_OCS_NAM","Centro de atención"
"RPR_PCK_OCS_DES","Centro de atención y otras oficinas hacinadas"
"RPR_PCK_ODT_NAM","Centros de datos"
"RPR_PCK_ODT_DES","Centros de datos con instalaciones en el mismo lugar"
"RPR_PCK_SSB_NAM","Escuela de suburbio"
"RPR_PCK_SSB_DES","Escuelas de suburbios"
"RPR_PCK_SML_NAM","MN bajo"
"RPR_PCK_SML_DES","Guía del Departamento de Educación de Minnesota: densidad más baja"
"RPR_PCK_SMM_NAM","MN medio"
"RPR_PCK_SMM_DES","Guía del Departamento de Educación de Minnesota: densidad media"
"RPR_PCK_SMH_NAM","MN alto"
"RPR_PCK_SMH_DES","Guía del Departamento de Educación de Minnesota: densidad más alta"
"RPR_PCK_SUK_NAM","Estándar del Reino Unido"
"RPR_PCK_SUK_DES","Densidades de planificación estándar para el Reino Unido."
"RPR_PCK_FDF_NAM","Genérico"
"RPR_PCK_FDF_DES","Altura de piso estándar de 3m."
"RPR_PCK_FHO_NAM","Casas independientes"
"RPR_PCK_FHO_DES","Viviendas residenciales independientes."
"RPR_PCK_FDL_NAM","Lobbies"
"RPR_PCK_FDL_DES","Edificios con lobbies y/o primero pisos elevados."
"RPR_PCK_FCM_NAM","Comercial"
"RPR_PCK_FCM_DES","Edificios comerciales, de oficina, educación e industria con alturas de pisos mas altos."
