"CODE","zh-TW"
"NAME","繁體中文"
"RPR_NAME","真實人口2 (Realistic Population 2)"
"RPR_DESC","更真實的建築人口(依據建築尺吋)和效用需求。"
"RPR_REALPOP","真實人口"
"RPR_INF_VIS",""
"RPR_PCK_DEF"," (預設)"
"RPR_PCK_NAM","計算"
"RPR_PCK_VAN_NAM",""
"RPR_PCK_VAN_DES",""
"RPR_PCK_LEG_NAM","舊版 WG 計算方式"
"RPR_PCK_LEG_DES","此模組的1.x版本及Whitefang Greytail的原版Realistic Population and Consumption所使用的舊計算方法。"
"RPR_PCK_RLS_NAM","單人住宅"
"RPR_PCK_RLS_DES","每棟一戶。"
"RPR_PCK_RLD_NAM","複式住宅"
"RPR_PCK_RLD_DES","每棟兩戶。"
"RPR_PCK_RUH_NAM","美式高樓"
"RPR_PCK_RUH_DES","普通美國套房和公寓。"
"RPR_PCK_REM_NAM","歐式套房(現代)"
"RPR_PCK_REM_DES","歐式中高度、壁到牆套房 (中密度; 現代建築)。"
"RPR_PCK_REO_NAM","歐式套房(傳統)"
"RPR_PCK_REO_DES","歐式中高度、壁到牆套房 (高密度; 傳統建築)。"
"RPR_PCK_CUS_NAM","美式零售店"
"RPR_PCK_CUS_DES","美式標準商業區零售店。"
"RPR_PCK_CUK_NAM","英式零售店"
"RPR_PCK_CUK_DES","英式標準商業區零售店。"
"RPR_PCK_CRW_NAM","大型超市"
"RPR_PCK_CRW_DES","非食品型大賣場和零售店倉庫。"
"RPR_PCK_THT_NAM","酒店"
"RPR_PCK_THT_DES","酒店和汽車旅館。"
"RPR_PCK_LFD_NAM","餐飲服務"
"RPR_PCK_LFD_DES","餐廳和咖啡廳。"
"RPR_PCK_LEN_NAM","娛樂"
"RPR_PCK_LEN_DES","休閒、健身和娛樂中心。"
"RPR_PCK_LCN_NAM","電影院"
"RPR_PCK_LCN_DES","電影院和劇院。"
"RPR_PCK_ILG_NAM","輕工業"
"RPR_PCK_ILG_DES","輕工業和工商業園區。"
"RPR_PCK_IMN_NAM","製造業"
"RPR_PCK_IMN_DES","製造工業。"
"RPR_PCK_IWL_NAM","小型倉庫"
"RPR_PCK_IWL_DES","用於本地分銷的倉庫-大儲存量和低密度就業。"
"RPR_PCK_IWN_NAM","大型倉庫"
"RPR_PCK_IWN_DES","用於全國分銷的倉庫-大儲存量和超低密度就業。"
"RPR_PCK_OCP_NAM","企業辦公室"
"RPR_PCK_OCP_DES","企業、專業服務和公營辦公室。"
"RPR_PCK_OFN_NAM","財經辦事處"
"RPR_PCK_OFN_DES","財經辦事處; 密度比普通企業辦公室更高。"
"RPR_PCK_OCS_NAM","客服中心"
"RPR_PCK_OCS_DES","客服中心和其他緊湊的辦公室。"
"RPR_PCK_ODT_NAM","數據中心"
"RPR_PCK_ODT_DES","具有主伺服器託管設施的數據中心。"
"RPR_PCK_SSB_NAM","郊區學校"
"RPR_PCK_SSB_DES","郊區式學校"
"RPR_PCK_SML_NAM","明尼蘇達(低密度)"
"RPR_PCK_SML_DES","明尼蘇達州教育部指南 - 最低密度"
"RPR_PCK_SMM_NAM","明尼蘇達(中密度)"
"RPR_PCK_SMM_DES","明尼蘇達州教育部指南 - 中等密度"
"RPR_PCK_SMH_NAM","明尼蘇達(高密度)"
"RPR_PCK_SMH_DES","明尼蘇達州教育部指南 - 最高密度"
"RPR_PCK_SUK_NAM","英式標準"
"RPR_PCK_SUK_DES","英國的標準規劃密度。"
"RPR_PCK_FDF_NAM","標準式"
"RPR_PCK_FDF_DES","標準3米高樓層。"
"RPR_PCK_FHO_NAM","獨立屋"
"RPR_PCK_FHO_DES","單獨式住宅。"
"RPR_PCK_FDL_NAM","大廳"
"RPR_PCK_FDL_DES","有大廳和(或)騎樓的大廈。"
"RPR_PCK_FCM_NAM","商業"
"RPR_PCK_FCM_DES","高樓底的商業、辦公區、教育和工業建築。"
"RPR_PCK_FWH_NAM","倉庫"
"RPR_PCK_FWH_DES","零售店、商業和工業倉庫。"
"RPR_PCK_FHB_NAM","高層架倉貯"
"RPR_PCK_FHB_DES","高層架式商業和工業倉庫。"
"RPR_PCK_FEX_NAM","一級產業"
"RPR_PCK_FEX_DES","工業萃取器和提煉器"
"RPR_PCK_SVE_NAM","遊戲默認國小"
"RPR_PCK_SVE_DES","根據遊戲默認國小調節"
"RPR_PCK_SVH_NAM","遊戲默認高中"
"RPR_PCK_SVH_DES","根據遊戲默認高中調節"
"RPR_PCK_SVC_NAM","遊戲默認社區學校"
"RPR_PCK_SVC_DES","根據遊戲默認社區學校調節"
"RPR_PCK_SVA_NAM","遊戲默認藝校"
"RPR_PCK_SVA_DES","根據遊戲默認藝校調節"
"RPR_CAT_ALL","所有分類"
"RPR_CAT_RES","住宅"
"RPR_CAT_RLO","低密度住宅"
"RPR_CAT_RHI","高密度住宅"
"RPR_CAT_COM","商店"
"RPR_CAT_CLO","低密度商店"
"RPR_CAT_CHI","高密度商店"
