"CODE","zh"
"NAME","简体中文"
"RPR_NAME","真实人口2"
"RPR_DESC","更真实的建筑人口(根据建筑规模)和公用设施需求"
"RPR_REALPOP","真实人口"
"RPR_INF_VIS","游客"
"RPR_PCK_DEF"," (默认)"
"RPR_PCK_NAM","计算"
"RPR_PCK_VAN_NAM","游戏原版"
"RPR_PCK_VAN_DES","基础游戏使用的算法 (无模组)"
"RPR_PCK_LEG_NAM","旧版本计算方式"
"RPR_PCK_LEG_DES","旧版本计算方式使用的是Whitefang Greytail的真实人口模组和“Realistic Population Revisited”早期版本"
"RPR_PCK_RLS_NAM","单人住宅"
"RPR_PCK_RLS_DES","每栋一户"
"RPR_PCK_RLD_NAM","双拼式住宅"
"RPR_PCK_RLD_DES","每栋两户"
"RPR_PCK_RUH_NAM","美式高层建筑"
"RPR_PCK_RUH_DES","一般美式公寓和住宅"
"RPR_PCK_REM_NAM","欧式公寓（现代）"
"RPR_PCK_REM_DES","欧式中高度、连续型公寓（中密度；现代建筑）"
"RPR_PCK_REO_NAM","欧式公寓（传统）"
"RPR_PCK_REO_DES","欧式中高度、连续型公寓（高密度；传统建筑）"
"RPR_PCK_CUS_NAM","美式零售店"
"RPR_PCK_CUS_DES","美式标准商业区零售店"
"RPR_PCK_CUK_NAM","英式零售店"
"RPR_PCK_CUK_DES","英式标准商业区零售店"
"RPR_PCK_CRW_NAM","大型商店"
"RPR_PCK_CRW_DES","非食品商店和零售仓库"
"RPR_PCK_THT_NAM","酒店"
"RPR_PCK_THT_DES","酒店和旅馆"
"RPR_PCK_LFD_NAM","餐饮服务"
"RPR_PCK_LFD_DES","餐厅和咖啡厅"
"RPR_PCK_LEN_NAM","娱乐"
"RPR_PCK_LEN_DES","休闲、健身和娱乐中心"
"RPR_PCK_LCN_NAM","电影院"
"RPR_PCK_LCN_DES","电影院和剧院"
"RPR_PCK_ILG_NAM","轻工业"
"RPR_PCK_ILG_DES","轻工业和商业园区"
"RPR_PCK_IMN_NAM","制造业"
"RPR_PCK_IMN_DES","工业制造"
"RPR_PCK_IWL_NAM","小型仓库"
